,file_path,pitch_id,pitch_type,pitch_result,action,hit_id,stroke,event_len,game_score,inning,inning_outs,play_outs,count_appearance,count_play,batter
0,anonymized-files-wisd/12345634_10136.jsonl,54e48da8-67a0-46a4-bf51-c75170a07411,Sinker,Strike,Called,{},{},0,2 - 0,3,2,0,0 - 0,0 - 1,
1,anonymized-files-wisd/12345634_1020.jsonl,f1c5834c-ba80-419b-883f-56b665cb2e79,Sinker,Strike,{},{},{},0,9 - 0,6,0,0,0 - 1,0 - 1,
2,anonymized-files-wisd/12345634_10282.jsonl,ac29b4ab-63bc-4672-a29c-f4517fd03c85,Changeup,HitIntoPlay,{},daf9742c-869c-4370-9d66-59e217be1c89,{},1,9 - 0,7,1,1,2 - 1,0 - 0,{'mlbId': 797796542}
3,anonymized-files-wisd/12345634_10475.jsonl,8efde6c7-6ab0-40aa-a197-c1ad42bb7ee7,FourSeamFastball,HitIntoPlay,{},62848ee8-bff2-4410-9c61-eb672c283a60,{},1,0 - 0,3,1,0,2 - 2,0 - 0,{'mlbId': 352830460}
4,anonymized-files-wisd/12345634_10501.jsonl,b4727ec0-5df2-48ae-baab-1dea20f53f15,Curveball,Strike,{},{},{},0,0 - 0,1,2,0,0 - 1,0 - 1,
5,anonymized-files-wisd/12345634_10636.jsonl,69931eb8-37bc-4b1c-91f8-7325b54faa72,Slider,Strike,Called,{},{},0,6 - 0,3,2,0,0 - 0,0 - 1,
6,anonymized-files-wisd/12345634_10962.jsonl,7139315c-faea-486f-94a4-c33e022866a9,Sinker,Strike,Foul,49f533e3-075e-428b-abc3-3303e0871a34,{},1,0 - 0,1,0,0,2 - 2,0 - 0,{'mlbId': 412098649}
7,anonymized-files-wisd/12345634_10980.jsonl,de0e4c47-e433-4a87-b113-5276655100dd,Changeup,Ball,Called,{},{},0,9 - 0,8,1,0,0 - 0,1 - 0,
8,anonymized-files-wisd/12345634_10997.jsonl,a49f856d-5004-4629-8260-a709fc1ffc11,Curveball,Strike,Called,{},{},0,9 - 0,9,1,0,0 - 0,0 - 1,
9,anonymized-files-wisd/12345634_11018.jsonl,f480e3cc-cf47-4aaf-a0ea-820700504970,Sinker,Strike,Called,{},{},0,0 - 0,1,2,0,0 - 1,0 - 1,
10,anonymized-files-wisd/12345634_11227.jsonl,444a6133-f51f-4fda-bef8-066259b9de2f,FourSeamFastball,HitIntoPlay,{},6851a681-5242-42ff-906c-125b455c7b08,{},1,0 - 0,1,2,1,1 - 2,0 - 0,{'mlbId': 797957728}
11,anonymized-files-wisd/12345634_11283.jsonl,33a6a28e-5446-4e8b-8ea5-27f6907ffb62,Slider,Ball,Called,{},{},0,0 - 0,3,1,0,1 - 2,1 - 0,
12,anonymized-files-wisd/12345634_11372.jsonl,7c6aeff0-14f3-4816-a692-dcfa4a05d985,Sinker,Ball,Called,{},{},0,9 - 0,6,0,0,0 - 2,1 - 0,
13,anonymized-files-wisd/12345634_11434.jsonl,fc342567-4736-47c8-9296-d9e453ecf2b6,Sinker,Ball,Called,{},{},0,0 - 0,3,0,0,0 - 0,1 - 0,
